area_name,area_code,date,new_cases,total_cases
Havering,E09000016,2021-05-06,8,26928
Hillingdon,E09000017,2021-05-06,17,26713
Hounslow,E09000018,2021-05-06,13,25039
Islington,E09000019,2021-05-06,10,15059
Kensington and Chelsea,E09000020,2021-05-06,6,9093
Kingston upon Thames,E09000021,2021-05-06,6,12300
Lambeth,E09000022,2021-05-06,9,24310
Lewisham,E09000023,2021-05-06,6,21729
Merton,E09000024,2021-05-06,8,16303
Newham,E09000025,2021-05-06,7,35665
Redbridge,E09000026,2021-05-06,7,32999
Richmond upon Thames,E09000027,2021-05-06,3,10915
Southwark,E09000028,2021-05-06,7,22514
Sutton,E09000029,2021-05-06,4,15975
Tower Hamlets,E09000030,2021-05-06,17,28987
Waltham Forest,E09000031,2021-05-06,5,24983
Wandsworth,E09000032,2021-05-06,10,22298
Westminster,E09000033,2021-05-06,13,14333
Barking and Dagenham,E09000002,2021-05-07,5,23657
Barnet,E09000003,2021-05-07,5,30567
Bexley,E09000004,2021-05-07,1,22435
Brent,E09000005,2021-05-07,14,28738
Bromley,E09000006,2021-05-07,7,24427
Camden,E09000007,2021-05-07,9,14188
Croydon,E09000008,2021-05-07,18,31001
Ealing,E09000009,2021-05-07,18,31349
Enfield,E09000010,2021-05-07,4,29838
Greenwich,E09000011,2021-05-07,3,22472
Hackney and City of London,E09000012,2021-05-07,7,21748
Hammersmith and Fulham,E09000013,2021-05-07,3,13078
Haringey,E09000014,2021-05-07,4,20870
Harrow,E09000015,2021-05-07,16,20955
Havering,E09000016,2021-05-07,2,26930
Hillingdon,E09000017,2021-05-07,23,26736
Hounslow,E09000018,2021-05-07,17,25056
Islington,E09000019,2021-05-07,3,15062
Kensington and Chelsea,E09000020,2021-05-07,7,9100
Kingston upon Thames,E09000021,2021-05-07,4,12304
Lambeth,E09000022,2021-05-07,8,24318
Lewisham,E09000023,2021-05-07,8,21737
Merton,E09000024,2021-05-07,3,16306
Newham,E09000025,2021-05-07,2,35667
Redbridge,E09000026,2021-05-07,6,33005
Richmond upon Thames,E09000027,2021-05-07,3,10918
Southwark,E09000028,2021-05-07,6,22520
Sutton,E09000029,2021-05-07,2,15977
Tower Hamlets,E09000030,2021-05-07,6,28993
Waltham Forest,E09000031,2021-05-07,3,24986
Wandsworth,E09000032,2021-05-07,4,22302
Westminster,E09000033,2021-05-07,5,14338
Barking and Dagenham,E09000002,2021-05-08,3,23660
Barnet,E09000003,2021-05-08,6,30573
Bexley,E09000004,2021-05-08,5,22440
Brent,E09000005,2021-05-08,4,28742
Bromley,E09000006,2021-05-08,6,24433
Camden,E09000007,2021-05-08,6,14194
Croydon,E09000008,2021-05-08,9,31010
Ealing,E09000009,2021-05-08,9,31358
Enfield,E09000010,2021-05-08,5,29843
Greenwich,E09000011,2021-05-08,7,22479
Hackney and City of London,E09000012,2021-05-08,2,21750
Hammersmith and Fulham,E09000013,2021-05-08,2,13080
Haringey,E09000014,2021-05-08,4,20874
Harrow,E09000015,2021-05-08,5,20960
Havering,E09000016,2021-05-08,4,26934
Hillingdon,E09000017,2021-05-08,9,26745
Hounslow,E09000018,2021-05-08,20,25076
Islington,E09000019,2021-05-08,7,15069
Kensington and Chelsea,E09000020,2021-05-08,2,9102
Kingston upon Thames,E09000021,2021-05-08,3,12307
Lambeth,E09000022,2021-05-08,3,24321
Lewisham,E09000023,2021-05-08,1,21738
Merton,E09000024,2021-05-08,4,16310
Newham,E09000025,2021-05-08,2,35669
Redbridge,E09000026,2021-05-08,11,33016
Richmond upon Thames,E09000027,2021-05-08,5,10923
Southwark,E09000028,2021-05-08,1,22521
Sutton,E09000029,2021-05-08,1,15978
Tower Hamlets,E09000030,2021-05-08,8,29001
Waltham Forest,E09000031,2021-05-08,6,24992
Wandsworth,E09000032,2021-05-08,7,22309
Westminster,E09000033,2021-05-08,8,14346
Barking and Dagenham,E09000002,2021-05-09,11,23671
Barnet,E09000003,2021-05-09,13,30586
